component_id,category,brand,model,year,price,value_metric,metric_label
asus founders edition | GeForce GTX 1080 Ti,GPU,asus,asus founders edition,2023,3364.51,305.86454545454546,$/GB VRAM
asus gt1030-2g-brk | GeForce GT 1030,GPU,asus,asus gt1030-2g-brk,2023,97.7,48.85,$/GB VRAM
asus gt1030-2g-brk | GeForce GT 1030,GPU,asus,asus gt1030-2g-brk,2025,112.01,56.005,$/GB VRAM
asus gt1030-2g-csm | GeForce GT 1030,GPU,asus,asus gt1030-2g-csm,2023,89.99,44.995,$/GB VRAM
asus gt1030-2g-csm | GeForce GT 1030,GPU,asus,asus gt1030-2g-csm,2025,106.56,53.28,$/GB VRAM
asus gt710-sl-2gd5 | GeForce GT 710,GPU,asus,asus gt710-sl-2gd5,2023,205.09,102.545,$/GB VRAM
asus gt710-sl-2gd5 | GeForce GT 710,GPU,asus,asus gt710-sl-2gd5,2025,145.3,72.65,$/GB VRAM
asus gt730-4h-sl-2gd5 | GeForce GT 730,GPU,asus,asus gt730-4h-sl-2gd5,2023,115.4,57.7,$/GB VRAM
asus gt730-4h-sl-2gd5 | GeForce GT 730,GPU,asus,asus gt730-4h-sl-2gd5,2025,111.09,55.545,$/GB VRAM
asus gt730-sl-1gd3-brk | GeForce GT 730,GPU,asus,asus gt730-sl-1gd3-brk,2023,138.02,138.02,$/GB VRAM
asus gt730-sl-1gd3-brk | GeForce GT 730,GPU,asus,asus gt730-sl-1gd3-brk,2025,143.26,143.26,$/GB VRAM
asus gt730-sl-2gd3-brk | GeForce GT 730,GPU,asus,asus gt730-sl-2gd3-brk,2023,128.02,64.01,$/GB VRAM
asus gt730-sl-2gd5-brk | GeForce GT 730,GPU,asus,asus gt730-sl-2gd5-brk,2023,78.99,39.495,$/GB VRAM
asus gt730-sl-2gd5-brk | GeForce GT 730,GPU,asus,asus gt730-sl-2gd5-brk,2025,79.99,39.995,$/GB VRAM
asus gtx660 ti-dc2o-2gd5 | GeForce GTX 660 Ti,GPU,asus,asus gtx660 ti-dc2o-2gd5,2025,239.0,119.5,$/GB VRAM
asus gtx950-2g | GeForce GTX 950 75W,GPU,asus,asus gtx950-2g,2025,255.0,127.5,$/GB VRAM
asus gtxtitan-6gd5 | GeForce GTX Titan,GPU,asus,asus gtxtitan-6gd5,2025,595.0,99.16666666666667,$/GB VRAM
asus gtxtitanx-12gd5 | GeForce GTX Titan X,GPU,asus,asus gtxtitanx-12gd5,2023,1698.0,141.5,$/GB VRAM
asus gtxtitanx-12gd5 | GeForce GTX Titan X,GPU,asus,asus gtxtitanx-12gd5,2025,799.0,66.58333333333333,$/GB VRAM
asus ko gaming oc v2 | GeForce RTX 3070 LHR,GPU,asus,asus ko gaming oc v2,2023,530.79,66.34875,$/GB VRAM
asus ko gaming oc v2 | GeForce RTX 3070 LHR,GPU,asus,asus ko gaming oc v2,2025,740.0,92.5,$/GB VRAM
asus ko gaming oc | GeForce RTX 3070,GPU,asus,asus ko gaming oc,2023,659.0,82.375,$/GB VRAM
asus ko gaming oc | GeForce RTX 3070,GPU,asus,asus ko gaming oc,2025,735.0,91.875,$/GB VRAM
